IND_3d,IND_2d,IND_1d
17,11,1
18,11,1
19,11,1
20,11,1
21,11,1
22,11,1
23,11,1
24,11,1
25,11,1
26,11,1
27,11,1
28,11,1
47,21,2
48,21,2
49,21,2
50,21,2
51,21,2
52,21,2
53,21,2
54,21,2
55,21,2
56,21,2
57,21,2
67,51,3
68,51,3
69,51,3
70,51,3
71,51,3
72,51,3
73,51,3
74,51,3
75,51,3
76,51,3
77,51,3
107,33,4
108,33,4
109,33,4
110,33,4
111,33,4
112,33,4
113,33,4
114,33,4
115,33,4
116,33,4
117,33,4
118,33,4
119,33,4
120,33,4
121,33,4
122,33,4
123,33,4
124,33,4
125,33,4
126,33,4
127,33,4
128,33,4
129,33,4
130,33,4
131,33,4
132,33,4
133,33,4
134,33,4
135,33,4
136,33,4
137,33,4
138,33,4
139,30,4
140,30,4
141,30,4
142,30,4
143,30,4
144,30,4
145,30,4
146,30,4
147,30,4
148,30,4
149,30,4
150,30,4
151,30,4
152,30,4
153,30,4
154,30,4
155,30,4
156,30,4
157,30,4
158,30,4
159,30,4
160,30,4
161,30,4
162,30,4
163,30,4
164,30,4
165,30,4
166,30,4
167,30,4
168,30,4
169,30,4
177,31,4
178,31,4
179,31,4
180,31,4
181,31,4
182,31,4
183,31,4
184,31,4
185,31,4
186,31,4
187,31,4
188,31,4
189,31,4
190,31,4
191,31,4
192,31,4
193,31,4
194,31,4
195,31,4
196,31,4
197,31,4
198,31,4
199,31,4
200,31,4
201,31,4
202,31,4
203,31,4
204,31,4
205,31,4
206,31,4
207,31,4
208,31,4
209,31,4
219,32,4
220,32,4
221,32,4
222,32,4
223,32,4
224,32,4
225,32,4
226,32,4
227,32,4
228,32,4
229,32,4
230,32,4
231,32,4
232,32,4
233,32,4
234,32,4
235,32,4
236,32,4
237,32,4
238,32,4
239,33,4
240,33,4
241,33,4
242,33,4
243,33,4
244,33,4
245,33,4
246,33,4
247,33,4
248,33,4
249,33,4
250,33,4
251,33,4
252,33,4
253,33,4
254,33,4
255,33,4
256,33,4
257,33,4
258,33,4
259,33,4
267,34,4
268,40,4
269,40,4
270,40,4
271,40,4
272,40,4
273,40,4
274,40,4
275,40,4
276,40,4
277,40,4
278,40,4
279,40,4
280,40,4
281,40,4
282,40,4
283,40,4
284,40,4
285,40,4
286,40,4
287,40,4
288,40,4
289,40,4
290,40,4
291,40,4
292,40,4
293,40,4
294,40,4
295,40,4
296,40,4
297,40,4
298,40,4
299,41,4
307,42,4
308,42,4
309,42,4
310,42,4
311,42,4
312,42,4
313,42,4
314,42,4
315,42,4
316,42,4
317,42,4
318,42,4
319,42,4
320,42,4
321,42,4
322,42,4
323,42,4
324,42,4
325,42,4
326,42,4
327,42,4
328,43,4
329,43,4
330,43,4
331,43,4
332,43,4
333,43,4
334,43,4
335,43,4
336,43,4
337,43,4
338,85,4
339,85,4
347,44,4
348,44,4
349,44,4
350,44,4
351,44,4
352,44,4
353,44,4
354,44,4
355,44,4
356,44,4
357,44,4
358,44,4
359,44,4
360,44,4
361,44,4
362,44,4
363,44,4
364,44,4
365,44,4
366,44,4
367,44,4
368,44,4
369,44,4
370,44,4
371,44,4
372,44,4
373,44,4
374,44,4
375,44,4
376,44,4
377,44,4
378,44,4
379,44,4
380,44,4
381,44,4
382,44,4
383,44,4
384,44,4
385,44,4
386,44,4
387,44,4
388,45,4
389,42,4
390,45,4
391,45,4
392,45,4
393,45,4
394,45,4
395,45,4
396,45,4
397,45,4
398,49,4
407,55,5
408,55,5
409,55,5
410,55,5
411,55,5
412,55,5
413,55,5
414,55,5
415,55,5
416,55,5
417,55,5
418,55,5
419,55,5
420,55,5
421,55,5
422,55,5
423,55,5
424,55,5
425,55,5
426,55,5
427,55,5
428,55,5
429,55,5
447,56,5
448,56,5
449,56,5
467,57,5
468,57,5
469,57,5
470,57,5
471,57,5
472,57,5
473,57,5
474,57,5
475,57,5
476,57,5
477,57,5
478,57,5
479,57,5
507,62,6
508,62,6
509,62,6
510,62,6
511,62,6
512,62,6
513,62,6
514,62,6
515,62,6
516,62,6
517,62,6
518,62,6
519,62,6
520,62,6
521,62,6
522,62,6
523,62,6
524,62,6
525,62,6
526,62,6
527,62,6
528,62,6
529,62,6
530,62,6
531,62,6
532,62,6
533,62,6
534,62,6
535,62,6
536,62,6
537,62,6
538,62,6
539,62,6
540,62,6
541,62,6
542,62,6
543,62,6
544,62,6
545,62,6
546,62,6
547,62,6
548,62,6
549,62,6
550,62,6
551,62,6
552,62,6
553,62,6
554,62,6
555,62,6
556,62,6
557,62,6
558,62,6
559,62,6
560,62,6
561,62,6
562,62,6
563,62,6
564,62,6
565,62,6
566,62,6
567,62,6
568,62,6
569,62,6
570,62,6
571,62,6
572,62,6
573,62,6
574,62,6
575,62,6
576,62,6
577,62,6
578,62,6
579,62,6
580,62,6
581,62,6
582,62,6
583,62,6
584,62,6
585,62,6
586,62,6
587,62,6
588,62,6
599,69,6
607,61,6
608,61,6
609,61,6
610,61,6
611,61,6
612,61,6
613,61,6
614,61,6
615,61,6
616,61,6
617,61,6
618,61,6
619,61,6
620,61,6
621,61,6
622,61,6
623,61,6
624,61,6
625,61,6
626,61,6
627,61,6
628,61,6
629,61,6
630,61,6
631,61,6
632,61,6
633,61,6
634,61,6
635,61,6
636,61,6
637,61,6
638,61,6
639,61,6
640,61,6
641,61,6
642,61,6
643,61,6
644,61,6
645,61,6
646,61,6
647,61,6
648,61,6
649,61,6
650,61,6
651,61,6
652,61,6
653,61,6
654,61,6
655,61,6
656,61,6
657,61,6
658,61,6
659,61,6
660,61,6
661,61,6
662,61,6
663,61,6
664,61,6
665,61,6
666,61,6
667,61,6
668,61,6
669,61,6
670,61,6
671,61,6
672,61,6
673,61,6
674,61,6
675,61,6
676,61,6
677,61,6
678,61,6
679,61,6
680,61,6
681,61,6
682,61,6
683,61,6
684,61,6
685,61,6
686,61,6
687,61,6
688,61,6
689,61,6
690,61,6
691,61,6
692,61,6
693,61,6
694,61,6
695,61,6
696,61,6
697,61,6
698,61,6
707,71,7
708,71,7
709,71,7
710,71,7
711,71,7
712,71,7
713,71,7
714,71,7
715,71,7
716,71,7
717,71,7
718,71,7
727,82,8
728,82,8
729,82,8
730,82,8
731,82,8
732,82,8
733,82,8
734,82,8
735,82,8
736,82,8
737,82,8
738,82,8
739,82,8
740,82,8
741,82,8
742,82,8
743,82,8
744,82,8
745,82,8
746,82,8
747,82,8
748,82,8
749,82,8
757,81,8
758,81,8
759,81,8
769,83,9
770,83,9
771,83,9
772,83,9
773,83,9
774,83,9
775,83,9
776,83,9
777,83,9
778,83,9
779,83,9
780,83,9
781,83,9
782,83,9
783,83,9
784,83,9
785,83,9
786,83,9
787,83,9
788,83,9
789,83,9
790,83,9
791,83,9
792,83,9
793,83,9
794,83,9
795,83,9
796,83,9
797,83,9
798,83,9
807,84,10
808,84,10
809,84,10
828,86,11
829,86,11
830,86,11
831,86,11
832,86,11
833,86,11
834,86,11
835,86,11
836,86,11
837,86,11
838,86,11
839,86,11
840,86,11
841,86,11
842,86,11
843,86,11
844,86,11
845,86,11
846,86,11
847,86,11
848,86,11
849,88,11
857,87,11
858,87,11
859,87,11
860,87,11
861,87,11
862,87,11
863,87,11
864,87,11
865,87,11
866,87,11
867,87,11
868,87,11
869,88,11
870,88,11
871,88,11
872,88,11
873,88,11
874,88,11
875,88,11
876,88,11
877,88,11
878,88,11
879,88,11
880,88,11
881,88,11
882,88,11
883,88,11
884,88,11
885,88,11
886,88,11
887,88,11
888,88,11
889,88,11
890,88,11
891,88,11
892,88,11
893,88,11
894,88,11
895,88,11
896,88,11
897,88,11
917,92,12
927,92,12
928,92,12
929,92,12
930,92,12
931,92,12
932,92,12
933,92,12
934,92,12
935,92,12
936,92,12
937,92,12
907,,12
999,,
