OCC_3D,OCC_2D,OCC_1D
0,,
1,12,1
2,15,1
3,16,1
4,16,1
5,16,1
6,15,1
7,15,1
8,15,1
9,15,1
10,15,1
11,15,1
12,15,1
13,15,1
14,15,1
15,15,1
16,15,1
17,15,1
18,15,1
19,15,1
20,15,1
21,15,1
22,15,1
23,15,1
24,17,1
25,16,1
26,17,1
30,18,1
31,18,1
32,14,1
33,14,1
34,14,1
35,14,1
36,14,1
42,15,1
43,15,1
44,15,1
45,15,1
46,15,1
47,15,1
48,15,1
49,15,1
50,15,1
51,15,1
52,15,1
53,15,1
54,15,1
55,16,1
56,17,1
61,11,1
62,10,1
63,11,1
64,11,1
65,10,1
71,11,1
72,11,1
73,11,1
74,11,1
75,11,1
76,11,1
80,16,1
81,16,1
82,16,1
83,16,1
84,16,1
85,16,1
86,17,1
90,17,1
91,14,1
92,14,1
93,14,1
94,14,1
95,14,1
96,14,1
100,17,1
101,17,1
102,14,1
103,14,1
104,14,1
105,14,1
106,14,1
107,14,1
108,14,1
109,14,1
110,14,1
111,14,1
112,14,1
113,14,1
114,14,1
115,14,1
116,14,1
117,14,1
118,14,1
119,14,1
120,14,1
121,14,1
122,14,1
123,14,1
124,14,1
125,14,1
126,14,1
127,14,1
128,14,1
129,14,1
130,14,1
131,14,1
132,14,1
133,14,1
134,14,1
135,14,1
136,14,1
137,14,1
138,14,1
139,14,1
140,14,1
141,13,1
142,13,1
143,13,1
144,13,1
145,13,1
150,16,1
151,16,1
152,16,1
153,16,1
154,16,1
155,16,1
156,16,1
157,16,1
158,16,1
159,16,1
160,16,1
161,16,1
162,16,1
163,16,1
164,16,1
165,16,1
166,16,1
167,16,1
168,16,1
169,16,1
170,16,1
171,16,1
172,16,1
173,16,1
174,19,1
175,19,1
176,19,1
177,19,1
178,19,1
179,19,1
180,19,1
181,19,1
182,19,1
183,16,1
184,17,1
185,19,1
190,19,1
191,16,1
192,17,1
193,19,1
194,19,1
195,19,1
201,20 o 31,2 o 3
202,20 o 31,2 o 3
203,20 o 31,2 o 3
204,20 o 31,2 o 3
205,20 o 31,2 o 3
206,20 o 31,2 o 3
207,20 o 31,2 o 3
208,20 o 31,2 o 3
209,20 o 31,2 o 3
210,20 o 31,2 o 3
211,20 o 31,2 o 3
212,20 o 31,2 o 3
213,20 o 31,2 o 3
214,20 o 31,2 o 3
215,20 o 31,2 o 3
